t,x,s,p
0,0.24272311383601802,39.67356800342852,0.3202858695639949
1,0.17894757664091568,39.77611075216212,0.0850473418856188
2,0.3250522847780659,40.44957656839069,0.36680079689193396
3,0.32956661095504675,40.09318215628792,1.454304567383887
4,0.4257265633873759,39.620962020897984,1.313975322738125
5,0.46746958799295313,39.99819722041155,-0.6075988359869886
6,0.3578086186138465,39.12023188988035,0.29375895231529736
7,0.5802858343626699,37.62913026486958,0.5336230117392703
8,0.7278867750333752,37.344689062168406,1.7609713915388288
9,0.4900274122690846,35.91212705848713,1.2010856562179377
10,1.0077489543137441,37.481729311118926,3.3825956770274415
11,1.0105326482844388,37.1555923196047,4.350631973102303
12,1.278076970413668,36.226719812708005,3.525409023959391
13,1.4246687546904035,34.63114591746934,4.557881210653248
14,1.55100992111134,35.92927321839548,3.1918021186813528
15,1.720664087072084,35.69727107504795,5.579672410504713
16,1.7021182540643098,30.620199189113006,6.622394419592202
17,2.1627277876693802,31.8791532824816,7.135827757921743
18,2.450501441066676,30.85410575122576,9.353614799227067
19,2.7646667943491776,27.07286178242695,10.371821047236011
20,3.038635540192283,26.095439144853657,11.090748653806413
21,3.2122245661103146,23.399167213325704,13.378911231664418
22,3.4876539752103013,24.636516968015798,13.824231948291086
23,3.9826643997292885,20.898527550930247,12.553768310013984
24,4.264862010468703,18.863614424034655,15.252776489889392
25,4.527657563673198,18.564533720531177,17.2369637602866
26,5.055542859047023,15.852540708851103,17.928019318810378
27,5.231227231815731,15.173888563194948,19.01967505306706
28,5.6507232166879175,13.277964338416986,22.325171032868653
29,5.918974159490776,11.712147933349845,22.536527821423963
30,6.118486302569813,11.250549601387256,23.575683110292424
31,6.397713398488387,10.526413425689034,24.442659236493512
32,6.743081151496551,9.430909990631168,24.850915727256513
33,6.840816833735578,4.980509713616684,26.223970394970905
34,7.060095266022842,6.607200018577526,28.434231406023965
35,7.09473880740455,5.213158292989147,27.90732226001309
36,7.3550700200038115,6.016195008788036,27.348784072503964
37,7.615265228216832,4.374702421543416,28.601471159916276
38,7.691735684739886,3.2771395508929224,28.644923659682835
39,7.648310555926331,2.76740333322528,29.904593494105768
40,7.602703808595683,1.7567911119125164,30.13864130148958
41,7.826128155665109,4.01142533257816,30.40204533544893
42,7.924776815726883,0.2891763494637276,29.945825252497485
43,7.910641290452552,1.5698278853112868,31.309515619382935
44,7.952512914698105,1.1847519052500706,29.583850965366945
45,8.015381542090987,0.5170872591438673,30.844870961138497
46,8.208204844313945,-0.43674617397642734,31.50663813727895
47,8.16310433833197,0.207132946156107,30.999135910784542
48,8.077330412232401,1.0022519639186522,30.300240318547612
49,8.127293685452042,0.29964616676036504,31.665216628936015
50,8.128532451628182,1.186987482778691,33.445581135659566
51,8.086684305065882,1.4473441619954681,30.873870611401532
52,8.326008282130397,1.8843158592134088,30.789369535015943
53,8.221488932775065,0.38946620554981537,31.799101633509636
54,8.173110622803256,-0.03188738432866059,31.904949072575725
55,8.136508500140522,-0.923501581122132,32.97783992239359
56,8.15828181396449,-0.14918648582586203,29.91897528918952
57,8.268842088665012,0.7354107900719776,31.53171351284498
58,8.26618742521477,-0.9033056847882326,31.54598503526691
59,8.264881095830427,0.023319567720500492,32.82438196989668
60,8.260066941298486,-1.9579727915387939,31.714289182994165
